Monticello Brianza comune,Monticello Brianza comune.1
,
Monticello Brianza – Veduta,Monticello Brianza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Alessandra Hofmann (lista civica Rinnoviamo Monticello) dal 27-6-2019
Territorio,Territorio
Coordinate,45°43′N 9°19′E
Altitudine,408 m s.l.m.
Superficie,"4,61 km²"
Abitanti,4 193[1] (30-11-2025)
Densità,"909,54 ab./km²"
Frazioni,"Casirago, Cortenuova, Prebone, Torrevilla"
Comuni confinanti,"Barzanò, Besana in Brianza (MB), Casatenovo, Cassago Brianza, Missaglia, Renate (MB), Viganò"
Altre informazioni,Altre informazioni
Cod. postale,23876
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097054
Cod. catastale,F674
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 646 GG[3]"
Nome abitanti,monticellesi
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Monticello Brianza,Monticello Brianza
Monticello Brianza – MappaPosizione del comune di Monticello Brianza nella provincia di Lecco,Monticello Brianza – MappaPosizione del comune di Monticello Brianza nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
