Paderno d'Adda comune,Paderno d'Adda comune.1
,
Paderno d'Adda – Veduta,Paderno d'Adda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Gianpaolo Torchio (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°41′N 9°27′E
Altitudine,266 m s.l.m.
Superficie,"3,56 km²"
Abitanti,3 889[1] (30-11-2025)
Densità,"1 092,42 ab./km²"
Comuni confinanti,"Calusco d'Adda (BG), Cornate d'Adda (MB), Medolago (BG), Robbiate, Verderio"
Altre informazioni,Altre informazioni
Cod. postale,23877
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097062
Cod. catastale,G218
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 447 GG[3]"
Nome abitanti,padernesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Paderno d'Adda,Paderno d'Adda
Paderno d'Adda – MappaPosizione del comune di Paderno d'Adda nella provincia di Lecco,Paderno d'Adda – MappaPosizione del comune di Paderno d'Adda nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
