Orio Litta comune,Orio Litta comune.1
,
Orio Litta – VedutaVilla Litta Carini,Orio Litta – VedutaVilla Litta Carini
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Francesco Ferrari (lista civica Uniti per Orio) dal 26-5-2019
Territorio,Territorio
Coordinate,45°09′39″N 9°33′20″E
Altitudine,63 m s.l.m.
Superficie,"9,78 km²"
Abitanti,2 074[1] (30-11-2025)
Densità,"212,07 ab./km²"
Comuni confinanti,"Calendasco (PC), Chignolo Po (PV), Livraga, Monticelli Pavese (PV), Ospedaletto Lodigiano, San Colombano al Lambro (MI), Senna Lodigiana"
Altre informazioni,Altre informazioni
Cod. postale,26863
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098042
Cod. catastale,G107
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,oriesi
Patrono,san Giovanni Battista
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Orio Litta,Orio Litta
Orio Litta – MappaPosizione del comune di Orio Litta nella provincia di Lodi,Orio Litta – MappaPosizione del comune di Orio Litta nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
