Somaglia comune,Somaglia comune.1
,
Somaglia – VedutaIl castello Cavazzi,Somaglia – VedutaIl castello Cavazzi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Angelo Caperdoni (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°09′01″N 9°38′04″E
Altitudine,57 m s.l.m.
Superficie,"20,82 km²"
Abitanti,3 862[1] (30-11-2025)
Densità,"185,49 ab./km²"
Frazioni,San Martino Pizzolano
Comuni confinanti,"Calendasco (PC), Casalpusterlengo, Codogno, Fombio, Guardamiglio, Ospedaletto Lodigiano, Senna Lodigiana"
Altre informazioni,Altre informazioni
Cod. postale,26867
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098054
Cod. catastale,I815
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,somagliesi
Cartografia,Cartografia
Somaglia,Somaglia
Somaglia – MappaPosizione del comune di Somaglia nella provincia di Lodi,Somaglia – MappaPosizione del comune di Somaglia nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
