Marmirolo comune,Marmirolo comune.1
,
Marmirolo – VedutaTorre e Municipio,Marmirolo – VedutaTorre e Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Elena Betteghella (PD - lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°13′09.41″N 10°45′21.92″E
Altitudine,30 m s.l.m.
Superficie,"42,02 km²"
Abitanti,7 670[1] (30-11-2025)
Densità,"182,53 ab./km²"
Frazioni,"Marengo, Pozzolo, San Brizio Località: Campagnazza, Rotta[2]"
Comuni confinanti,"Goito, Porto Mantovano, Roverbella, Valeggio sul Mincio (VR), Volta Mantovana"
Altre informazioni,Altre informazioni
Cod. postale,46045
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020033
Cod. catastale,E962
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,marmirolesi
Patrono,san Sebastiano e san Fabiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Marmirolo,Marmirolo
Marmirolo – MappaPosizione del comune di Marmirolo nella provincia di Mantova,Marmirolo – MappaPosizione del comune di Marmirolo nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
