Schivenoglia comune,Schivenoglia comune.1
,
Schivenoglia – VedutaVeduta,Schivenoglia – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Paolo Oppini (lista civica Insieme per Schivenoglia) dal 10-6-2024
Territorio,Territorio
Coordinate,45°00′N 11°04′E
Altitudine,16 m s.l.m.
Superficie,"12,96 km²"
Abitanti,1 130[1] (30-11-2025)
Densità,"87,19 ab./km²"
Frazioni,"Brazzuolo, Caselle, Gabbianella, Malpasso[2]"
Comuni confinanti,"Borgo Mantovano, Quingentole, Quistello, San Giovanni del Dosso"
Altre informazioni,Altre informazioni
Cod. postale,46020
Prefisso,0386
Fuso orario,UTC+1
Codice ISTAT,020060
Cod. catastale,I532
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 393 GG[4]"
Nome abitanti,schivenogliesi
Patrono,san Francesco d'Assisi
Giorno festivo,4 ottobre
Cartografia,Cartografia
Schivenoglia,Schivenoglia
Schivenoglia – MappaPosizione del comune di Schivenoglia nella provincia di Mantova,Schivenoglia – MappaPosizione del comune di Schivenoglia nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
