Bovisio Masciago comune,Bovisio Masciago comune.1
,
Bovisio Masciago – VedutaPiazza Anselmo IV e la chiesa di S. Pancrazio,Bovisio Masciago – VedutaPiazza Anselmo IV e la chiesa di S. Pancrazio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Giovanni Sartori (Lega) dal 27-5-2019
Territorio,Territorio
Coordinate,45°36′39.6″N 9°08′51.9″E
Altitudine,188 m s.l.m.
Superficie,"4,93 km²"
Abitanti,16 957[1] (30-11-2025)
Densità,"3 439,55 ab./km²"
Frazioni,Masciago Milanese
Comuni confinanti,"Ceriano Laghetto, Cesano Maderno, Desio, Limbiate, Solaro (MI), Varedo"
Altre informazioni,Altre informazioni
Cod. postale,20813
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108010
Cod. catastale,B105
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 449 GG[3]"
Nome abitanti,bovisiani e masciaghesi
Patrono,San Pancrazio San Martino di Tours
Giorno festivo,ultima domenica di settembre e seconda domenica di novembre
Cartografia,Cartografia
Bovisio Masciago,Bovisio Masciago
Bovisio Masciago – MappaPosizione del comune di Bovisio Masciago nella provincia di Monza e della Brianza,Bovisio Masciago – MappaPosizione del comune di Bovisio Masciago nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
