Misinto comune,Misinto comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Matteo Piuri (coalizione Nuovi Orizzonti) dal 27-5-2019 (2º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,45°40′N 9°05′E
Altitudine,252 m s.l.m.
Superficie,"5,11 km²"
Abitanti,5 753[1] (30-11-2025)
Densità,"1 125,83 ab./km²"
Frazioni,"Cascina Nuova, Cascina Sant'Andrea"
Comuni confinanti,"Cogliate, Lentate sul Seveso, Lazzate, Rovellasca (CO), Rovello Porro (CO)"
Altre informazioni,Altre informazioni
Cod. postale,20826
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,108032
Cod. catastale,F247
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 524 GG[3]"
Nome abitanti,misintesi
Patrono,san Siro
Giorno festivo,9 dicembre
Cartografia,Cartografia
Misinto,Misinto
Misinto – MappaPosizione del comune di Misinto nella provincia di Monza e della Brianza,Misinto – MappaPosizione del comune di Misinto nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
