Sulbiate comune,Sulbiate comune.1
,
Sulbiate – VedutaChiesa di Sant'Ambrogio,Sulbiate – VedutaChiesa di Sant'Ambrogio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Carla Della Torre (centro-sinistra) dal 12-6-2017
Territorio,Territorio
Coordinate,45°38′14.62″N 9°25′29.74″E
Altitudine,232 m s.l.m.
Superficie,"5,2 km²"
Abitanti,4 526[1] (30-11-2025)
Densità,"870,38 ab./km²"
Frazioni,"Brentana, Cascina Cà, Sulbiate Inferiore, Sulbiate Superiore"
Comuni confinanti,"Aicurzio, Bellusco, Bernareggio, Cornate d'Adda, Mezzago, Verderio (LC), Vimercate"
Altre informazioni,Altre informazioni
Cod. postale,20884
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108042
Cod. catastale,I998
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 426 GG[3]"
Nome abitanti,Sulbiatesi
Patrono,Sant'Antonio da Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Sulbiate,Sulbiate
Sulbiate – MappaPosizione del comune di Sulbiate nella provincia di Monza e della Brianza,Sulbiate – MappaPosizione del comune di Sulbiate nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
