Candia Lomellina comune,Candia Lomellina comune.1
,
Candia Lomellina – VedutaVeduta stazione,Candia Lomellina – VedutaVeduta stazione
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Antonio Brianta (lista civica) dal 09-06-2024
Territorio,Territorio
Coordinate,45°11′N 8°36′E
Altitudine,102 m s.l.m.
Superficie,"27,9 km²"
Abitanti,1 545[1] (30-11-2025)
Densità,"55,38 ab./km²"
Frazioni,Terrasa
Comuni confinanti,"Breme, Casale Monferrato (AL), Cozzo, Frassineto Po (AL), Langosco, Motta de' Conti (VC), Valle Lomellina"
Altre informazioni,Altre informazioni
Cod. postale,27031
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018027
Cod. catastale,B587
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 812 GG[3]"
Nome abitanti,candiesi
Patrono,Madonna del Rosario
Giorno festivo,prima domenica e primo lunedi di ottobre
Cartografia,Cartografia
Candia Lomellina,Candia Lomellina
Candia Lomellina – MappaPosizione del comune di Candia Lomellina nella provincia di Pavia,Candia Lomellina – MappaPosizione del comune di Candia Lomellina nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
