Dorno comune,Dorno comune.1
,
Dorno – VedutaLa chiesa parrocchiale,Dorno – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Francesco Maria Perotti (lista civica di centro-destra In comune per Dorno) dal 26-5-2019
Territorio,Territorio
Coordinate,45°09′N 8°57′E
Altitudine,90 m s.l.m.
Superficie,"30,57 km²"
Abitanti,4 614[1] (30-11-2025)
Densità,"150,93 ab./km²"
Comuni confinanti,"Alagna, Garlasco, Gropello Cairoli, Pieve Albignola, Sannazzaro de' Burgondi, Scaldasole, Valeggio, Zinasco"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018061
Cod. catastale,D348
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,Dornesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Dorno,Dorno
Dorno – MappaPosizione del comune di Dorno nella provincia di Pavia,Dorno – MappaPosizione del comune di Dorno nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
