Pavia comune,Pavia comune.1
,
Pavia – Veduta,Pavia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Michele Lissia (PD) dall'11-6-2024
Territorio,Territorio
Coordinate,45°11′07.01″N 9°09′18″E
Altitudine,77 m s.l.m.
Superficie,"62,86 km²"
Abitanti,71 768[1] (30-11-2025)
Densità,"1 141,71 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Borgarello, Carbonara al Ticino, Certosa di Pavia, Cura Carpignano, Marcignago, San Genesio ed Uniti, San Martino Siccomario, Sant'Alessio con Vialone, Torre d'Isola, Travacò Siccomario, Valle Salimbene"
Altre informazioni,Altre informazioni
Cod. postale,27100
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018110
Cod. catastale,G388
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,pavesi
Patrono,"san Siro, sant'Agostino, san Teodoro"
Giorno festivo,"9 dicembre, 28 agosto e 20 maggio"
PIL procapite,(nominale) 28.636 €[4]
Soprannome,Seconda Roma Città dalle cento torri
Motto,(LA) Hic domus virtutis (IT) Qui è la casa della virtù
Cartografia,Cartografia
Pavia,Pavia
Pavia – MappaPosizione del comune di Pavia nell'omonima provincia,Pavia – MappaPosizione del comune di Pavia nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
