San Damiano al Colle comune,San Damiano al Colle comune.1
,
San Damiano al Colle – Veduta,San Damiano al Colle – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Cesarino Vercesi (lista civica Il futuro per San Damiano) dal 26-5-2013
Territorio,Territorio
Coordinate,45°02′00.31″N 9°21′07.8″E
Altitudine,216 m s.l.m.
Superficie,"6,43 km²"
Abitanti,599[1] (30-11-2025)
Densità,"93,16 ab./km²"
Frazioni,"Boffalora, Camporello, Casalunga, Mondonico, Santa Giuliana, Villa Marone."
Comuni confinanti,"Bosnasco, Castel San Giovanni (PC), Montù Beccaria, Rovescala"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018134
Cod. catastale,H814
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 851 GG[3]"
Nome abitanti,sandamianesi
Cartografia,Cartografia
San Damiano al Colle,San Damiano al Colle
San Damiano al Colle – MappaPosizione del comune di San Damiano al Colle nella provincia di Pavia,San Damiano al Colle – MappaPosizione del comune di San Damiano al Colle nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
