Santa Maria della Versa comune,Santa Maria della Versa comune.1
,
Santa Maria della Versa – VedutaVista della frazione Soriasco,Santa Maria della Versa – VedutaVista della frazione Soriasco
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Anna Zucconi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°59′N 9°18′E
Altitudine,199 m s.l.m.
Superficie,"18,48 km²"
Abitanti,2 277[1] (30-11-2025)
Densità,"123,21 ab./km²"
Frazioni,"Donelasco, Gariasco, Pizzofreddo, Sannazzaro, Montarco, Soriasco, Torrazza, Torrone, Valdamonte, Villanova, Moglialunga"
Comuni confinanti,"Alta Val Tidone (PC), Castana, Golferenzo, Montalto Pavese, Montecalvo Versiggia, Montù Beccaria, Pietra de' Giorgi, Rovescala, Ziano Piacentino (PC)"
Altre informazioni,Altre informazioni
Cod. postale,27047
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018143
Cod. catastale,I237
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 852 GG[3]"
Nome abitanti,mariesi
Cartografia,Cartografia
Santa Maria della Versa,Santa Maria della Versa
Santa Maria della Versa – MappaPosizione del comune di Santa Maria della Versa nella provincia di Pavia,Santa Maria della Versa – MappaPosizione del comune di Santa Maria della Versa nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
