Siziano comune,Siziano comune.1
,
Siziano – VedutaComune di Siziano,Siziano – VedutaComune di Siziano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Matteo Pedrazzoli (lista civica di centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°19′N 9°12′E
Altitudine,93 m s.l.m.
Superficie,"11,79 km²"
Abitanti,6 903[1] (30-11-2025)
Densità,"585,5 ab./km²"
Frazioni,"Bonate, Campomorto, Casatico, Gnignano"
Comuni confinanti,"Bornasco, Carpiano (MI), Lacchiarella (MI), Landriano, Locate di Triulzi (MI), Pieve Emanuele (MI), Vidigulfo"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382 02 (frazione di Gnignano)
Fuso orario,UTC+1
Codice ISTAT,018150
Cod. catastale,E265
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 601 GG[3]"
Nome abitanti,Sizianesi
Patrono,San Bartolomeo
Giorno festivo,Seconda domenica di settembre
Cartografia,Cartografia
Siziano,Siziano
Siziano – MappaPosizione del comune di Siziano nella provincia di Pavia,Siziano – MappaPosizione del comune di Siziano nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
