Torrevecchia Pia comune,Torrevecchia Pia comune.1
,
Torrevecchia Pia – VedutaPanorama,Torrevecchia Pia – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Gerardo Manfredi (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°17′N 9°18′E
Altitudine,84 m s.l.m.
Superficie,"16,5 km²"
Abitanti,3 537[1] (30-11-2025)
Densità,"214,36 ab./km²"
Frazioni,"Cassina Bianca, Cascina Colombara, Montepagano, Vigonzone, Zibido al Lambro"
Comuni confinanti,"Bascapè, Landriano, Marzano, Valera Fratta (LO), Vidigulfo"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018160
Cod. catastale,L285
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,torrevecchini
Patrono,Natività di Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Torrevecchia Pia,Torrevecchia Pia
Torrevecchia Pia – MappaPosizione del comune di Torrevecchia Pia nella provincia di Pavia,Torrevecchia Pia – MappaPosizione del comune di Torrevecchia Pia nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
