Valle Salimbene comune,Valle Salimbene comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Matteo Canato (lista civica) dal giugno 2024
Territorio,Territorio
Coordinate,45°10′N 9°14′E
Altitudine,71 m s.l.m.
Superficie,"7,16 km²"
Abitanti,1 429[1] (30-11-2025)
Densità,"199,58 ab./km²"
Frazioni,"Belvedere, Cascina Oltrona, Cascina Taccona, Motta San Damiano e San Leonardo"
Comuni confinanti,"Albuzzano, Cura Carpignano, Linarolo, Pavia, Travacò Siccomario"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018169
Cod. catastale,L617
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,salimbenesi
Cartografia,Cartografia
Valle Salimbene,Valle Salimbene
Valle Salimbene – MappaPosizione del comune di Valle Salimbene nella provincia di Pavia,Valle Salimbene – MappaPosizione del comune di Valle Salimbene nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
