Villanova d'Ardenghi comune,Villanova d'Ardenghi comune.1
,
Villanova d'Ardenghi – VedutaStazione,Villanova d'Ardenghi – VedutaStazione
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Claudia Cecilia Maria Mussi (lista civica Insieme per Villanova) dal 26-5-2019
Territorio,Territorio
Coordinate,45°10′N 9°02′E
Altitudine,86 m s.l.m.
Superficie,"6,61 km²"
Abitanti,758[1] (30-11-2025)
Densità,"114,67 ab./km²"
Comuni confinanti,"Carbonara al Ticino, Gropello Cairoli, Zerbolò, Zinasco"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018179
Cod. catastale,L983
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,villanovesi
Patrono,San Cristoforo Martire
Cartografia,Cartografia
Villanova d'Ardenghi,Villanova d'Ardenghi
Villanova d'Ardenghi – MappaPosizione del comune di Villanova d'Ardenghi nella provincia di Pavia,Villanova d'Ardenghi – MappaPosizione del comune di Villanova d'Ardenghi nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
