Voghera comune,Voghera comune.1
,
Voghera – VedutaVeduta del duomo,Voghera – VedutaVeduta del duomo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Paola Garlaschelli (indipendente[1] di centro-destra) dal 5-10-2020
Territorio,Territorio
Coordinate,44°59′33″N 9°00′33″E
Altitudine,96 m s.l.m.
Superficie,"63,44 km²"
Abitanti,40 199[2] (30-11-2025)
Densità,"633,65 ab./km²"
Frazioni,"Campoferro, Medassino, Oriolo, Torremenapace, Valle"
Comuni confinanti,"Casei Gerola, Cervesina, Codevilla, Corana, Lungavilla, Montebello della Battaglia, Pancarana, Pizzale, Pontecurone (AL), Retorbido, Rivanazzano Terme, Silvano Pietra"
Altre informazioni,Altre informazioni
Cod. postale,27058
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018182
Cod. catastale,M109
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 685 GG[4]"
Nome abitanti,vogheresi o iriensi
Patrono,san Bovo
Giorno festivo,venerdì antecedente l'Ascensione
Motto,(LA) Signo Sacrati Imperi Durabit Viqueria Tempore
Cartografia,Cartografia
Voghera,Voghera
Voghera – MappaPosizione del comune di Voghera nella provincia di Pavia,Voghera – MappaPosizione del comune di Voghera nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
