Zenevredo comune,Zenevredo comune.1
,
Zenevredo – Veduta,Zenevredo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Antonio Pizzi (lista civica) dal 2022
Territorio,Territorio
Coordinate,45°03′N 9°20′E
Altitudine,204 m s.l.m.
Superficie,"5,4 km²"
Abitanti,482[1] (30-11-2025)
Densità,"89,26 ab./km²"
Frazioni,"Bellaria, Campagnasso, Casa Gramegna, Cascina Vecchia, Fontanelle, Orzola, Poalone, Poggio Pelato"
Comuni confinanti,"Arena Po, Bosnasco, Montù Beccaria, Stradella"
Altre informazioni,Altre informazioni
Cod. postale,27049
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018187
Cod. catastale,M162
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 832 GG[3]"
Nome abitanti,zenevredesi
Cartografia,Cartografia
Zenevredo,Zenevredo
Zenevredo – MappaPosizione del comune di Zenevredo nella provincia di Pavia,Zenevredo – MappaPosizione del comune di Zenevredo nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
