Dubino comune,Dubino comune.1
,
Dubino – Veduta,Dubino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Emanuele Nonini (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°09′N 9°27′E
Altitudine,223 m s.l.m.
Superficie,"13,24 km²"
Abitanti,3 837[1] (30-11-2025)
Densità,"289,8 ab./km²"
Frazioni,Nuova Olonio
Comuni confinanti,"Andalo Valtellino, Cino, Delebio, Gera Lario (CO), Mantello, Novate Mezzola, Piantedo, Sorico (CO), Verceia"
Altre informazioni,Altre informazioni
Cod. postale,23015
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014027
Cod. catastale,D377
Targa,SO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 386 GG[3]"
Nome abitanti,Dubinesi/Dubinat
Patrono,"san Pietro, sant'Andrea"
Giorno festivo,29 giugno
Cartografia,Cartografia
Dubino,Dubino
Dubino – MappaPosizione del comune di Dubino nella provincia di Sondrio,Dubino – MappaPosizione del comune di Dubino nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
