Gerola Alta comune,Gerola Alta comune.1
,
Gerola Alta – VedutaPanorama notturno di Gerola Alta,Gerola Alta – VedutaPanorama notturno di Gerola Alta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Rosalba Acquistapace (lista civica) dal 26-5-2013 (3º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,46°02′49.09″N 9°33′05.77″E
Altitudine,1 050 m s.l.m.
Superficie,"37,43 km²"
Abitanti,159[1] (30-11-2025)
Densità,"4,25 ab./km²"
Frazioni,"Case di Sopra, Castello, Fenile, Foppa, Laveggiolo, Nasoncio, Pescegallo, Ravizze, Valle"
Comuni confinanti,"Averara (BG), Bema, Cusio (BG), Introbio (LC), Ornica (BG), Pedesina, Premana (LC), Santa Brigida (BG), Valtorta (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014031
Cod. catastale,D990
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 561 GG[3]"
Nome abitanti,gerolesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Gerola Alta,Gerola Alta
Gerola Alta – MappaPosizione del comune di Gerola Alta nella provincia di Sondrio,Gerola Alta – MappaPosizione del comune di Gerola Alta nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
