Poggiridenti comune,Poggiridenti comune.1
,
Poggiridenti – Veduta,Poggiridenti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Giovanni Piasini (lista civica) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°10′N 9°55′E
Altitudine,564 m s.l.m.
Superficie,"2,9 km²"
Abitanti,1 830[1] (30-11-2025)
Densità,"631,03 ab./km²"
Comuni confinanti,"Montagna in Valtellina, Piateda, Tresivio"
Altre informazioni,Altre informazioni
Cod. postale,23020
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014051
Cod. catastale,G431
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 039 GG[3]"
Nome abitanti,pendolaschi
Patrono,san Fedele
Cartografia,Cartografia
Poggiridenti,Poggiridenti
Poggiridenti – MappaPosizione del comune di Poggiridenti nella provincia di Sondrio,Poggiridenti – MappaPosizione del comune di Poggiridenti nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
