Valdisotto comune,Valdisotto comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Capoluogo,Cepina
Sindaco,Alessandro Pedrini (lista civica Vivere Valdisotto) dal 12-06-2022 (2º mandato)
Territorio,Territorio
Coordinate del capoluogo,46°25′40.35″N 10°21′22.19″E
Altitudine,1 120 m s.l.m.
Superficie,"89,57[1] km²"
Abitanti,3 533[2] (30-11-2025)
Densità,"39,44 ab./km²"
Frazioni,"Aquilone, Capitania, Cepina, Monte, Oga, Piatta, Piazza, San Pietro, Santa Lucia, Santa Maria Maddalena, Tiola, Tola"
Comuni confinanti,"Bormio, Grosio, Sondalo, Valdidentro, Valfurva"
Altre informazioni,Altre informazioni
Cod. postale,23030
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014072
Cod. catastale,L563
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 690 GG[4]"
Nome abitanti,"Cepinaschi (Cepina), Piattini (Piatta), Ogolini (Oga), Magot (S.Antonio Morignone)"
Cartografia,Cartografia
Cepina,Cepina
Valdisotto – MappaPosizione del comune di Valdisotto nella provincia di Sondrio,Valdisotto – MappaPosizione del comune di Valdisotto nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
