Bedero Valcuvia comune,Bedero Valcuvia comune.1
,
Bedero Valcuvia – VedutaPanorama di Bedero con vista verso le alpi,Bedero Valcuvia – VedutaPanorama di Bedero con vista verso le alpi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Carlo Paolo Galli (lista civica Vivere Bedero) dal 10-6-2024 (4º mandato)[1]
Territorio,Territorio
Coordinate,45°54′50″N 8°47′40″E
Altitudine,520 m s.l.m.
Superficie,"2,56 km²"
Abitanti,662[2] (30-11-2025)
Densità,"258,59 ab./km²"
Frazioni,"Cascina Marteghetta, Monte Scerrè, Loc. carbora Loc. Piancora Loc. Ronchi Loc. Tarabara"
Comuni confinanti,"Brinzio, Cunardo, Masciago Primo, Rancio Valcuvia, Valganna"
Altre informazioni,Altre informazioni
Cod. postale,21039
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012010
Cod. catastale,A728
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 764 GG[4]"
Nome abitanti,bederesi
Patrono,sant'Ilario
Giorno festivo,13 gennaio
Cartografia,Cartografia
Bedero Valcuvia,Bedero Valcuvia
Bedero Valcuvia – MappaPosizione del comune di Bedero Valcuvia nella provincia di Varese,Bedero Valcuvia – MappaPosizione del comune di Bedero Valcuvia nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
