Cassano Magnago comune,Cassano Magnago comune.1
Città di Cassano Magnago,Città di Cassano Magnago
,
Cassano Magnago – Veduta,Cassano Magnago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Pietro Ottaviani (lista civica Poliseno) dal 26-6-2022
Territorio,Territorio
Coordinate,45°41′N 8°50′E
Altitudine,261 m s.l.m.
Superficie,"12,34 km²"
Abitanti,21 436[1] (30-11-2025)
Densità,"1 737,12 ab./km²"
Comuni confinanti,"Busto Arsizio, Cairate, Carnago, Cavaria con Premezzo, Fagnano Olona, Gallarate, Oggiona con Santo Stefano"
Altre informazioni,Altre informazioni
Cod. postale,21012
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012040
Cod. catastale,C004
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 909 GG[3]"
Nome abitanti,cassanesi
Patrono,san Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Cassano Magnago,Cassano Magnago
Cassano Magnago – MappaPosizione del comune di Cassano Magnago nella provincia di Varese,Cassano Magnago – MappaPosizione del comune di Cassano Magnago nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
