Castelveccana comune,Castelveccana comune.1
,
Castelveccana – VedutaVeduta della frazione di Caldé di Castelveccana con il lungolago e il porto.,Castelveccana – VedutaVeduta della frazione di Caldé di Castelveccana con il lungolago e il porto.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Maurizio Spozio (lista civica Insieme per Castelveccana) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°57′N 8°40′E
Altitudine,257 m s.l.m.
Superficie,"20,79 km²"
Abitanti,1 856[2] (30-11-2025)
Densità,"89,27 ab./km²"
Frazioni,"Bissaga, Caldé, Castello, Nasca, Orile, Pessina, Pira, Rasate, Ronchiano, Saltirana, San Pietro, Sarigo"
Comuni confinanti,"Brenta, Casalzuigno, Cittiglio, Ghiffa (VB), Laveno-Mombello, Oggebbio (VB), Porto Valtravaglia"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012045
Cod. catastale,C181
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 505 GG[4]"
Nome abitanti,castelveccanesi
Patrono,SS. Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Castelveccana,Castelveccana
Castelveccana – MappaPosizione del comune di Castelveccana nella provincia di Varese,Castelveccana – MappaPosizione del comune di Castelveccana nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
