Germignaga comune,Germignaga comune.1
,
Germignaga – Veduta,Germignaga – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Marco Fazio (lista civica Iniziativa democratica per Germignaga) dal 10-6-2024 (3º mandato)[1]
Territorio,Territorio
Coordinate,45°59′35.81″N 8°43′32.84″E
Altitudine,204 m s.l.m.
Superficie,"4,66 km²"
Abitanti,3 772[2] (30-11-2025)
Densità,"809,44 ab./km²"
Frazioni,"Casa Moro, Fornace, Mirandola Nuova, Ronchetto, Ronchi"
Comuni confinanti,"Brezzo di Bedero, Brissago Valtravaglia, Cannero Riviera (VB), Luino, Montegrino Valtravaglia"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012076
Cod. catastale,D987
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 433 GG[4]"
Nome abitanti,germignaghesi
Cartografia,Cartografia
Germignaga,Germignaga
Germignaga – MappaPosizione del comune di Germignaga nella provincia di Varese,Germignaga – MappaPosizione del comune di Germignaga nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
