Grantola comune,Grantola comune.1
,
Grantola – Veduta,Grantola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,"Renzo Stocco (lista civica Insieme per Grantola 2024 - Noi con Voi, Voi con Noi) dal 10-6-2024[1]"
Territorio,Territorio
Coordinate,45°57′N 8°47′E
Altitudine,250 m s.l.m.
Superficie,"2,05 km²"
Abitanti,1 224[2] (30-11-2025)
Densità,"597,07 ab./km²"
Frazioni,"Bellaria, Cà Noeuv, Foppa, Julit, Mafina, Montebello, Motta, Pandorè, Pasquè, Piana, Ronco, Turascia, Vicema"
Comuni confinanti,"Cassano Valcuvia, Cugliate-Fabiasco, Cunardo, Ferrera di Varese, Mesenzana, Montegrino Valtravaglia"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012081
Cod. catastale,E144
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 632 GG[4]"
Nome abitanti,grantolesi
Patrono,SS. Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Grantola,Grantola
Grantola – MappaPosizione del comune di Grantola nella provincia di Varese,Grantola – MappaPosizione del comune di Grantola nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
