Lavena Ponte Tresa comune,Lavena Ponte Tresa comune.1
,
Lavena Ponte Tresa – Veduta,Lavena Ponte Tresa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Massimo Mastromarino (lista civica Io cambio) dal 5-6-2016
Territorio,Territorio
Coordinate,45°58′N 8°51′E
Altitudine,275 m s.l.m.
Superficie,"4,44 km²"
Abitanti,5 647[1] (30-11-2025)
Densità,"1 271,85 ab./km²"
Comuni confinanti,"Brusimpiano, Cadegliano-Viconago, Caslano (CH-TI), Marzio, Tresa (CH-TI)"
Altre informazioni,Altre informazioni
Cod. postale,21037
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012086
Cod. catastale,E494
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 507 GG[3]"
Nome abitanti,"pontresini, laveniesi, tresiani e tresini"
Patrono,"santissimo Crocifisso, san Pietro[non chiaro]"
Giorno festivo,Venerdì Santo
Cartografia,Cartografia
Lavena Ponte Tresa,Lavena Ponte Tresa
Lavena Ponte Tresa – MappaPosizione del comune di Lavena Ponte Tresa nella provincia di Varese,Lavena Ponte Tresa – MappaPosizione del comune di Lavena Ponte Tresa nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
