San Marcello comune,San Marcello comune.1
,
San Marcello – Veduta,San Marcello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Joseph Borgiani (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°34′36.59″N 13°12′22.32″E
Altitudine,231 m s.l.m.
Superficie,"25,78 km²"
Abitanti,2 003[1] (30-11-2025)
Densità,"77,7 ab./km²"
Frazioni,Acquasanta
Comuni confinanti,"Belvedere Ostrense, Jesi, Maiolati Spontini, Monsano, Monte San Vito, Morro d'Alba"
Altre informazioni,Altre informazioni
Cod. postale,60030
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042041
Cod. catastale,H979
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 969 GG[3]"
Nome abitanti,sammarcellesi
Patrono,san Marcello I papa
Giorno festivo,16 gennaio
Cartografia,Cartografia
San Marcello,San Marcello
San Marcello – MappaPosizione del comune di San Marcello nella provincia di Ancona,San Marcello – MappaPosizione del comune di San Marcello nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
