Castel di Lama comune,Castel di Lama comune.1
,
Castel di Lama – VedutaVeduta della Piazza della Libertà ed il parco comunale,Castel di Lama – VedutaVeduta della Piazza della Libertà ed il parco comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Mauro Bochicchio (M5S) dall'11-6-2018 (2º mandato dal 16-5-2023)
Territorio,Territorio
Coordinate,42°52′10.39″N 13°42′47.88″E
Altitudine,201 m s.l.m.
Superficie,"10,98 km²"
Abitanti,8 413[1] (30-11-2025)
Densità,"766,21 ab./km²"
Frazioni,"Villa Piattoni, Villa Chiarini, Villa Sambuco, Villa Cese, Villa Cabbiano, Villa Valentino, Villa Forcella, Croce, Collecchio, Tose, Cese, Punta Solaria"
Comuni confinanti,"Appignano del Tronto, Ascoli Piceno, Castorano, Offida"
Altre informazioni,Altre informazioni
Cod. postale,63082
Prefisso,0736
Fuso orario,UTC+1
Codice ISTAT,044011
Cod. catastale,C093
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 875 GG[3]"
Nome abitanti,lamensi
Patrono,sant'Atanasio
Giorno festivo,2 maggio
Cartografia,Cartografia
Castel di Lama,Castel di Lama
Castel di Lama – MappaPosizione del comune di Castel di Lama nella provincia di Ascoli Piceno,Castel di Lama – MappaPosizione del comune di Castel di Lama nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
