Castorano comune,Castorano comune.1
,
Castorano – Veduta,Castorano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Rossana Cicconi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,42°53′54.05″N 13°43′39.25″E
Altitudine,279 m s.l.m.
Superficie,"14,08 km²"
Abitanti,2 276[1] (30-11-2025)
Densità,"161,65 ab./km²"
Frazioni,"Pescolla, San Silvestro, Rocchetta"
Comuni confinanti,"Ascoli Piceno, Castel di Lama, Colli del Tronto, Monsampolo del Tronto, Offida, Spinetoli"
Altre informazioni,Altre informazioni
Cod. postale,63081
Prefisso,0736
Fuso orario,UTC+1
Codice ISTAT,044013
Cod. catastale,C331
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 966 GG[3]"
Nome abitanti,castoranesi
Patrono,Visitazione della Beata Vergine Maria
Giorno festivo,31 maggio
Cartografia,Cartografia
Castorano,Castorano
Castorano – MappaPosizione del comune di Castorano nella provincia di Ascoli Piceno,Castorano – MappaPosizione del comune di Castorano nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
