Grottammare comune,Grottammare comune.1
,
Grottammare – Veduta,Grottammare – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Alessandro Rocchi (lista civica di centro-sinistra) dal 15-5-2023
Territorio,Territorio
Coordinate,42°59′20.76″N 13°52′05.05″E
Altitudine,4 m s.l.m.
Superficie,"17,66 km²"
Abitanti,15 920[1] (30-11-2025)
Densità,"901,47 ab./km²"
Comuni confinanti,"Acquaviva Picena, Cupra Marittima, Ripatransone, San Benedetto del Tronto"
Altre informazioni,Altre informazioni
Cod. postale,63066
Prefisso,0735
Fuso orario,UTC+1
Codice ISTAT,044023
Cod. catastale,E207
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 591 GG[3]"
Nome abitanti,grottesi[4] o grottammaresi[5]
Patrono,san Paterniano
Giorno festivo,10 luglio
Cartografia,Cartografia
Grottammare,Grottammare
Grottammare – MappaPosizione del comune di Grottammare nella provincia di Ascoli Piceno,Grottammare – MappaPosizione del comune di Grottammare nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
