Ripatransone comune,Ripatransone comune.1
,
Ripatransone – VedutaVeduta di Monte Antico e Belvedere dalla torre del Duomo,Ripatransone – VedutaVeduta di Monte Antico e Belvedere dalla torre del Duomo
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Alessandro Lucciarini de Vincenzi (lista civica) dall'11-6-2018 (2º mandato dal 16-5-2023)
Territorio,Territorio
Coordinate,43°00′00.78″N 13°45′44.97″E
Altitudine,494 m s.l.m.
Superficie,"74,28 km²"
Abitanti,4 131[1] (30-11-2025)
Densità,"55,61 ab./km²"
Frazioni,"Carmine, Messieri, Petrella, San Salvatore, San Savino, Trivio, Valtesino"
Comuni confinanti,"Acquaviva Picena, Carassai, Cossignano, Cupra Marittima, Grottammare, Massignano, Montefiore dell'Aso, Offida"
Altre informazioni,Altre informazioni
Cod. postale,63065
Prefisso,0735
Fuso orario,UTC+1
Codice ISTAT,044063
Cod. catastale,H321
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 218 GG[3]"
Nome abitanti,ripani
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Ripatransone,Ripatransone
Ripatransone – MappaPosizione del comune di Ripatransone nella provincia di Ascoli Piceno,Ripatransone – MappaPosizione del comune di Ripatransone nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
