Petritoli comune,Petritoli comune.1
,
Petritoli – VedutaVeduta del centro storico dal colle della Liberata,Petritoli – VedutaVeduta del centro storico dal colle della Liberata
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Luca Pezzani (centro-destra) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,43°04′01.56″N 13°39′21.78″E
Altitudine,358 m s.l.m.
Superficie,24 km²
Abitanti,2 088[1] (30-11-2025)
Densità,87 ab./km²
Frazioni,"Moregnano, Valmir"
Comuni confinanti,"Carassai (AP), Monte Giberto, Monte Vidon Combatte, Montefiore dell'Aso (AP), Monterubbiano, Ponzano di Fermo"
Altre informazioni,Altre informazioni
Cod. postale,63848
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109031
Cod. catastale,G516
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 058 GG[3]"
Nome abitanti,petritolesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Petritoli,Petritoli
Petritoli – MappaPosizione del comune di Petritoli nella provincia di Fermo,Petritoli – MappaPosizione del comune di Petritoli nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
