Sant'Elpidio a Mare comune,Sant'Elpidio a Mare comune.1
,
Sant'Elpidio a Mare – Veduta,Sant'Elpidio a Mare – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Gionata Calcinari (FdI) dal 9-6-2025
Territorio,Territorio
Coordinate,43°13′46.16″N 13°41′10.05″E
Altitudine,251 m s.l.m.
Superficie,"50,52 km²"
Abitanti,16 338[1] (30-11-2025)
Densità,"323,4 ab./km²"
Frazioni,"Bivio Cascinare, Cascinare, Casette d'Ete, Castellano, Luce Cretarola, Cura Mostrapiedi."
Comuni confinanti,"Civitanova Marche (MC), Fermo, Monte Urano, Montecosaro (MC), Montegranaro, Porto Sant'Elpidio"
Altre informazioni,Altre informazioni
Cod. postale,63811
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109037
Cod. catastale,I324
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 875 GG[3]"
Nome abitanti,elpidiensi
Patrono,sant'Elpidio Abate
Giorno festivo,2 settembre
Cartografia,Cartografia
Sant'Elpidio a Mare,Sant'Elpidio a Mare
Sant'Elpidio a Mare – MappaPosizione del comune di Sant'Elpidio a Mare nella provincia di Fermo,Sant'Elpidio a Mare – MappaPosizione del comune di Sant'Elpidio a Mare nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
