Bolognola comune,Bolognola comune.1
,
Bolognola – VedutaLa Chiesa di San Michele Arcangelo,Bolognola – VedutaLa Chiesa di San Michele Arcangelo
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Cristina Gentili (lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°59′36.24″N 13°13′43.68″E
Altitudine,1 070 m s.l.m.
Superficie,"25,88 km²"
Abitanti,147[1] (30-11-2025)
Densità,"5,68 ab./km²"
Frazioni,Pintura
Comuni confinanti,"Fiastra, Montefortino (FM), Sarnano, Ussita"
Altre informazioni,Altre informazioni
Cod. postale,62035
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043005
Cod. catastale,A947
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 891 GG[3]"
Nome abitanti,bolognolesi
Patrono,san Fortunato
Giorno festivo,1º giugno
Cartografia,Cartografia
Bolognola,Bolognola
Bolognola – MappaPosizione del comune di Bolognola nella provincia di Macerata,Bolognola – MappaPosizione del comune di Bolognola nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
