Macerata comune,Macerata comune.1
,
Macerata – Veduta,Macerata – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Sandro Parcaroli (Lega) dal 24-9-2020
Territorio,Territorio
Coordinate,43°18′01″N 13°27′12″E
Altitudine,315 m s.l.m.
Superficie,"92,53 km²"
Abitanti,40 677[1] (30-11-2025)
Densità,"439,61 ab./km²"
Frazioni,"Cimarella, Consalvi, Isola di Macerata, Madonna del Monte, Montanello, Montevinci, Piediripa, San Liberato, Santa Maria del Monte, Santo Stefano, Sforzacosta, Valle, Valteia, Villa Potenza"
Comuni confinanti,"Appignano, Corridonia, Montecassiano, Montelupone, Morrovalle, Pollenza, Recanati, Tolentino, Treia"
Altre informazioni,Altre informazioni
Cod. postale,62100
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043023
Cod. catastale,E783
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 005 GG[3]"
Nome abitanti,maceratesi
Patrono,Giuliano l'ospitaliere
Giorno festivo,31 agosto
Cartografia,Cartografia
Macerata,Macerata
Macerata – MappaPosizione del comune di Macerata nella provincia omonima,Macerata – MappaPosizione del comune di Macerata nella provincia omonima
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
