Ussita comune,Ussita comune.1
,
Ussita – Veduta,Ussita – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Silvia Bernardini (Lista civica) dal 22-9-2020
Data di istituzione,1913
Territorio,Territorio
Coordinate,42°56′38.87″N 13°08′34.62″E
Altitudine,744 m s.l.m.
Superficie,"55,3 km²"
Abitanti,331[1] (30-11-2025)
Densità,"5,99 ab./km²"
Frazioni,"Calcara, Capovallazza, Casali,Castel Fantellino, Cuore di Sorbo, Fluminata (sede comunale), Frontignano, Sammerlano, San Placido, Sant'Eusebio, Sorbo, Vallestretta"
Comuni confinanti,"Fiastra, Bolognola, Castelsantangelo sul Nera, Montefortino (FM), Pieve Torina, Visso"
Altre informazioni,Altre informazioni
Cod. postale,62039
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043056
Cod. catastale,L517
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 510 GG[3]"
Nome abitanti,ussitani
Cartografia,Cartografia
Ussita,Ussita
Ussita – MappaPosizione del comune di Ussita nella provincia di Macerata,Ussita – MappaPosizione del comune di Ussita nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
