Acqualagna comune,Acqualagna comune.1
,
Acqualagna – Veduta,Acqualagna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Pier Luigi Grassi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°37′00.12″N 12°40′16.32″E
Altitudine,204 m s.l.m.
Superficie,"50,69 km²"
Abitanti,4 151[1] (30-11-2025)
Densità,"81,89 ab./km²"
Frazioni,"Bellaria, Canfiagio, Ca' Romano, Case nuove, Farneta, Fossato, Furlo, Naro, Pelingo, Petriccio, Pole"
Comuni confinanti,"Cagli, Fermignano, Urbania, Urbino"
Altre informazioni,Altre informazioni
Cod. postale,61041
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041001
Cod. catastale,A035
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 237 GG[3]"
Nome abitanti,acqualagnesi
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Acqualagna,Acqualagna
Acqualagna – MappaPosizione del comune di Acqualagna nella provincia di Pesaro e Urbino,Acqualagna – MappaPosizione del comune di Acqualagna nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
