Urbino comune,Urbino comune.1
(dettagli),(dettagli)
Urbino – Veduta,Urbino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Maurizio Gambini (centro-destra) dal 9-6-2014 (3º mandato dal 25-6-2024)
Data di istituzione,XII secolo
Territorio,Territorio
Coordinate,43°43′30.86″N 12°38′13.92″E
Altitudine,485 m s.l.m.
Superficie,"226,5 km²"
Abitanti,13 867[1] (30-11-2025)
Densità,"61,22 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Acqualagna, Fermignano, Fossombrone, Isola del Piano, Lunano, Mondaino (RN), Montecalvo in Foglia, Montefelcino, Montelabbate, Peglio, Pesaro, Petriano, Piandimeleto, Sant'Angelo in Vado, Sassocorvaro Auditore, Tavoleto, Urbania, Vallefoglia"
Altre informazioni,Altre informazioni
Cod. postale,61029
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041067
Cod. catastale,L500
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,urbinati
Patrono,san Crescentino
Giorno festivo,1º giugno
PIL procapite,"(nominale) 21,433 € (2023)[4]"
Cartografia,Cartografia
Urbino,Urbino
Urbino – MappaPosizione del comune di Urbino nella provincia di Pesaro e Urbino,Urbino – MappaPosizione del comune di Urbino nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
