Castellino del Biferno comune,Castellino del Biferno comune.1
,
Castellino del Biferno – Veduta,Castellino del Biferno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Enrico Fratangelo (lista civica Movimento insorgente) dal 12-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,41°42′N 14°44′E
Altitudine,450 m s.l.m.
Superficie,"15,54 km²"
Abitanti,416[1] (30-11-2025)
Densità,"26,77 ab./km²"
Comuni confinanti,"Campolieto, Lucito, Matrice, Morrone del Sannio, Ripabottoni, Petrella Tifernina"
Altre informazioni,Altre informazioni
Cod. postale,86020
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070014
Cod. catastale,C175
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 916 GG[3]"
Nome abitanti,castellinesi
Patrono,san Pietro in Vincoli
Giorno festivo,1º agosto
Cartografia,Cartografia
Castellino del Biferno,Castellino del Biferno
Castellino del Biferno – MappaPosizione del comune di Castellino del Biferno nella provincia di Campobasso,Castellino del Biferno – MappaPosizione del comune di Castellino del Biferno nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
