Lupara comune,Lupara comune.1
,
Lupara – Veduta,Lupara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Pasqualino Morinelli (lista civica) dal 30-3-2010 (3º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,41°46′N 14°44′E
Altitudine,505 m s.l.m.
Superficie,"25,87 km²"
Abitanti,395[1] (30-11-2025)
Densità,"15,27 ab./km²"
Comuni confinanti,"Casacalenda, Castelbottaccio, Civitacampomarano, Guardialfiera, Morrone del Sannio"
Altre informazioni,Altre informazioni
Cod. postale,86030
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070034
Cod. catastale,E748
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 994 GG[3]"
Nome abitanti,luparesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Lupara,Lupara
Lupara – MappaPosizione del comune di Lupara nella provincia di Campobasso,Lupara – MappaPosizione del comune di Lupara nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
