Petrella Tifernina comune,Petrella Tifernina comune.1
,
Petrella Tifernina – Veduta,Petrella Tifernina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Alessandro Amoroso (lista civica Il melograno) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°41′N 14°42′E
Altitudine,651 m s.l.m.
Superficie,"26,52 km²"
Abitanti,992[1] (30-11-2025)
Densità,"37,41 ab./km²"
Comuni confinanti,"Castellino del Biferno, Limosano, Lucito, Matrice, Montagano"
Altre informazioni,Altre informazioni
Cod. postale,86024
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070052
Cod. catastale,G512
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 185 GG[3]"
Nome abitanti,petrellesi
Patrono,san Giorgio Martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Petrella Tifernina,Petrella Tifernina
Petrella Tifernina – MappaPosizione del comune di Petrella Tifernina nella provincia di Campobasso,Petrella Tifernina – MappaPosizione del comune di Petrella Tifernina nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
