Spinete comune,Spinete comune.1
,
Spinete – VedutaPanorama del centro di Spinete da una collina vicina,Spinete – VedutaPanorama del centro di Spinete da una collina vicina
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Michele Di Iorio (lista civica Nuova prospettiva Spinete) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°33′N 14°29′E
Altitudine,600 m s.l.m.
Superficie,"17,83 km²"
Abitanti,1 129[1] (30-11-2025)
Densità,"63,32 ab./km²"
Frazioni,Piana
Comuni confinanti,"Baranello, Bojano, Busso, Casalciprano, Colle d'Anchise, Sant'Elena Sannita (IS)"
Altre informazioni,Altre informazioni
Cod. postale,86020
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070076
Cod. catastale,I910
Targa,CB
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 130 GG[3]"
Nome abitanti,spinetesi
Patrono,san Giovanni
Giorno festivo,24 giugno
Cartografia,Cartografia
Spinete,Spinete
Spinete – MappaPosizione del comune di Spinete nella provincia di Campobasso,Spinete – MappaPosizione del comune di Spinete nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
