Civitanova del Sannio comune,Civitanova del Sannio comune.1
,
Civitanova del Sannio – Veduta,Civitanova del Sannio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Roberta Ciampittiello (Il futuro è qui) dall'11-6-2017
Territorio,Territorio
Coordinate,41°40′N 14°24′E
Altitudine,656 m s.l.m.
Superficie,"50,47 km²"
Abitanti,862[1] (30-11-2025)
Densità,"17,08 ab./km²"
Comuni confinanti,"Bagnoli del Trigno, Chiauci, Frosolone, Pescolanciano, Pietrabbondante, Poggio Sannita, Sessano del Molise, Duronia (CB), Salcito (CB)"
Altre informazioni,Altre informazioni
Cod. postale,86094
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094016
Cod. catastale,C769
Targa,IS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 257 GG[3]"
Nome abitanti,civitanovesi
Patrono,Felice e Adautto
Giorno festivo,30 agosto
Cartografia,Cartografia
Civitanova del Sannio,Civitanova del Sannio
Civitanova del Sannio – MappaPosizione del comune di Civitanova del Sannio nella provincia di Isernia,Civitanova del Sannio – MappaPosizione del comune di Civitanova del Sannio nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
