Sant'Agapito comune,Sant'Agapito comune.1
,
Sant'Agapito – Veduta,Sant'Agapito – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Isernia
Amministrazione,Amministrazione
Sindaco,Liberato Matticoli (Ora per domani) dal 10-6-2024
Territorio,Territorio
Coordinate,41°33′N 14°13′E
Altitudine,565 m s.l.m.
Superficie,"15,93 km²"
Abitanti,1 337[1] (30-11-2025)
Densità,"83,93 ab./km²"
Frazioni,"Colannoni, Coriemano, Pietradonata, Scalo Ferroviario, Temennotte."
Comuni confinanti,"Isernia, Longano, Macchia d'Isernia, Monteroduni"
Altre informazioni,Altre informazioni
Cod. postale,86070
Prefisso,0865
Fuso orario,UTC+1
Codice ISTAT,094044
Cod. catastale,I189
Targa,IS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 081 GG[3]"
Nome abitanti,santagapitesi
Patrono,sant'Agapito
Giorno festivo,18 agosto
Cartografia,Cartografia
Sant'Agapito,Sant'Agapito
Sant'Agapito – MappaPosizione del comune di Sant'Agapito nella provincia di Isernia,Sant'Agapito – MappaPosizione del comune di Sant'Agapito nella provincia di Isernia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
