Andrate comune,Andrate comune.1
,
Andrate – VedutaAndrate vista dal Montesino,Andrate – VedutaAndrate vista dal Montesino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Enrico Bovo (lista civica Un futuro per Andrate) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°31′38.5″N 7°52′49.14″E
Altitudine,836 m s.l.m.
Superficie,"9,31 km²"
Abitanti,471[1] (30-11-2025)
Densità,"50,59 ab./km²"
Comuni confinanti,"Borgofranco d'Ivrea, Chiaverano, Donato (BI), Nomaglio, Settimo Vittone"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001010
Cod. catastale,A282
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 495 GG[3]"
Nome abitanti,andratesi
Patrono,san Pietro in Vincoli
Giorno festivo,4 novembre
Cartografia,Cartografia
Andrate,Andrate
Andrate – MappaLocalizzazione del comune di Andrate nella città metropolitana di Torino.,Andrate – MappaLocalizzazione del comune di Andrate nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
