Barbania comune,Barbania comune.1
,
Barbania – VedutaChiesa di San Giuliano Martire,Barbania – VedutaChiesa di San Giuliano Martire
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giuseppe Drovetti (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°17′28.51″N 7°37′49.14″E
Altitudine,362 m s.l.m.
Superficie,"12,8 km²"
Abitanti,1 570[1] (30-11-2025)
Densità,"122,66 ab./km²"
Frazioni,"Boschi, Colli, Fandaglia, Gianotti, Perrero, Piana, Seita, Vignali, Zaccaria"
Comuni confinanti,"Busano, Levone, Rivara, Rocca Canavese, Vauda Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001021
Cod. catastale,A625
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 897 GG[3]"
Nome abitanti,barbaniesi
Patrono,san Giuliano di Brioude
Giorno festivo,ultima domenica di agosto e lunedì successivo
Cartografia,Cartografia
Barbania,Barbania
Barbania – MappaLocalizzazione del comune di Barbania nella città metropolitana di Torino.,Barbania – MappaLocalizzazione del comune di Barbania nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
