Borgaro Torinese comune,Borgaro Torinese comune.1
,
Borgaro Torinese – VedutaMunicipio,Borgaro Torinese – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Claudio Gambino (lista civica Insieme per Borgaro) dal 26-5-2014
Territorio,Territorio
Coordinate,45°09′07.72″N 7°39′28.7″E
Altitudine,254 m s.l.m.
Superficie,"11,18[1] km²"
Abitanti,11 541[2] (30-11-2025)
Densità,"1 032,29 ab./km²"
Frazioni,Villaretto
Comuni confinanti,"Caselle Torinese, Mappano, Torino, Venaria Reale"
Altre informazioni,Altre informazioni
Cod. postale,10071
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001028
Cod. catastale,A990
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 639 GG[4]"
Nome abitanti,borgaresi
Patrono,santi Cosma e Damiano
Giorno festivo,ultima domenica di settembre
Cartografia,Cartografia
Borgaro Torinese,Borgaro Torinese
Borgaro Torinese – MappaLocalizzazione del comune di Borgaro Torinese nella città metropolitana di Torino.,Borgaro Torinese – MappaLocalizzazione del comune di Borgaro Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
