Casalborgone comune,Casalborgone comune.1
,
Casalborgone – VedutaPanorama del centro storico,Casalborgone – VedutaPanorama del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Francesco Cavallero (lista civica Insieme) dal 7-5-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°07′49.62″N 7°56′25.53″E
Altitudine,318 m s.l.m.
Superficie,"20,13 km²"
Abitanti,1 860[1] (30-11-2025)
Densità,"92,4 ab./km²"
Frazioni,"Airali, Borganino, Ceriaglio, Civignola, San Martino, Scagno, Val Chiapini, Val Frascherina"
Comuni confinanti,"Aramengo (AT), Berzano di San Pietro (AT), Castagneto Po, Cinzano, Lauriano, Moransengo-Tonengo (AT), Rivalba, San Sebastiano da Po"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001060
Cod. catastale,B867
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 661 GG[3]"
Nome abitanti,casalborgonesi
Patrono,B.V. Assunta (Madonnina)
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Casalborgone,Casalborgone
Casalborgone – MappaLocalizzazione del comune di Casalborgone nella città metropolitana di Torino.,Casalborgone – MappaLocalizzazione del comune di Casalborgone nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
