Chianocco comune,Chianocco comune.1
,
Chianocco – VedutaIl castello di Chianocco visto da nord-est,Chianocco – VedutaIl castello di Chianocco visto da nord-est
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mauro Russo (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°08′55.06″N 7°10′10″E
Altitudine,550 (min 420 - max 2 666) m s.l.m.
Superficie,"18,61 km²"
Abitanti,1 500[1] (30-11-2025)
Densità,"80,6 ab./km²"
Frazioni,"Baritlera, Barmafeissard, Bianchi, Camposciutto, Colombè, Combe, Combette, Crotte, Gottrus, Grange, Lorano, Male Combe, Margrit, Molè, Pavaglione, Pianfè, Rossera, Strobietti, Vernetto, Vindrolere"
Comuni confinanti,"Bruzolo, Bussoleno, San Giorio di Susa, Usseglio"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001076
Cod. catastale,C610
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 179 GG[3]"
Nome abitanti,chianocchini
Patrono,santi Pietro e Paolo
Cartografia,Cartografia
Chianocco,Chianocco
Chianocco – MappaLocalizzazione del comune di Chianocco nella città metropolitana di Torino.,Chianocco – MappaLocalizzazione del comune di Chianocco nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
