Garzigliana comune,Garzigliana comune.1
,
Garzigliana – VedutaSantuario di Montebruno,Garzigliana – VedutaSantuario di Montebruno
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Lidia Alloa (lista civica Diamo voce a Garzigliana) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°50′14.06″N 7°22′27.91″E
Altitudine,314 m s.l.m.
Superficie,"7,4 km²"
Abitanti,562[1] (30-11-2025)
Densità,"75,95 ab./km²"
Frazioni,"Alberetti, Baite, Case Nuove, Conti, Montebruno, San Martino, Santa Marta"
Comuni confinanti,"Bricherasio, Cavour, Macello, Osasco, Pinerolo"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001111
Cod. catastale,D931
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 740 GG[3]"
Nome abitanti,garziglianesi
Patrono,sant'Anna
Giorno festivo,ultima domenica di luglio
Cartografia,Cartografia
Garzigliana,Garzigliana
Garzigliana – MappaLocalizzazione del comune di Garzigliana nella città metropolitana di Torino.,Garzigliana – MappaLocalizzazione del comune di Garzigliana nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
