Inverso Pinasca comune,Inverso Pinasca comune.1
,
Inverso Pinasca – VedutaIl municipio,Inverso Pinasca – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Luciano Bounous (lista civica Vivi Inverso Pinasca) dal 27-5-2019
Territorio,Territorio
Coordinate,44°56′44.3″N 7°13′06.29″E
Altitudine,600 m s.l.m.
Superficie,"8,03 km²"
Abitanti,675[1] (30-11-2025)
Densità,"84,06 ab./km²"
Comuni confinanti,"Perosa Argentina, Pinasca, Pomaretto, Pramollo, San Germano Chisone, Villar Perosa"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001122
Cod. catastale,E311
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 194 GG[3]"
Nome abitanti,inversini
Cartografia,Cartografia
Inverso Pinasca,Inverso Pinasca
Inverso Pinasca – MappaLocalizzazione del comune di Inverso Pinasca nella città metropolitana di Torino.,Inverso Pinasca – MappaLocalizzazione del comune di Inverso Pinasca nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
