La Loggia comune,La Loggia comune.1
,
La Loggia – VedutaVilla Carpeneto,La Loggia – VedutaVilla Carpeneto
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Domenico Romano (lista civica SìAmo La Loggia) dal 2017
Territorio,Territorio
Coordinate,44°57′27.88″N 7°40′02.37″E
Altitudine,230 m s.l.m.
Superficie,"12,79 km²"
Abitanti,8 672[1] (30-11-2025)
Densità,"678,03 ab./km²"
Frazioni,"Baraudina, Belvedere, Sabbioni, Tetti Griffa"
Comuni confinanti,"Carignano, Moncalieri, Vinovo"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001127
Cod. catastale,E423
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 570 GG[3]"
Nome abitanti,loggesi
Patrono,san Giacomo il Maggiore
Giorno festivo,25 luglio
Cartografia,Cartografia
La Loggia,La Loggia
La Loggia – MappaLocalizzazione del comune di La Loggia nella città metropolitana di Torino.,La Loggia – MappaLocalizzazione del comune di La Loggia nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
