Lauriano comune,Lauriano comune.1
,
Lauriano – VedutaPanorama del paese,Lauriano – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mara Baccolla (lista civica Per Lauriano e Piazzo) dal 15-5-2023
Territorio,Territorio
Coordinate,45°09′29.71″N 7°59′29.86″E
Altitudine,175 m s.l.m.
Superficie,"14,29 km²"
Abitanti,1 363[1] (30-11-2025)
Densità,"95,38 ab./km²"
Frazioni,"Località Berna, Novarese, Piazzo, Pietra"
Comuni confinanti,"Casalborgone, Cavagnolo, Monteu da Po, Moransengo-Tonengo (AT), San Sebastiano da Po, Verolengo"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001129
Cod. catastale,E484
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 616 GG[3]"
Nome abitanti,laurianesi
Patrono,san Benigno
Giorno festivo,terza domenica di ottobre
Cartografia,Cartografia
Lauriano,Lauriano
Lauriano – MappaLocalizzazione del comune di Lauriano nella città metropolitana di Torino.,Lauriano – MappaLocalizzazione del comune di Lauriano nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
