Levone comune,Levone comune.1
,
Levone – VedutaTorre porta dell'antico ricetto,Levone – VedutaTorre porta dell'antico ricetto
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Massimiliano Gagnor (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°19′05.53″N 7°36′22.27″E
Altitudine,353 m s.l.m.
Superficie,"5,39 km²"
Abitanti,476[1] (30-11-2025)
Densità,"88,31 ab./km²"
Comuni confinanti,"Barbania, Forno Canavese, Rivara, Rocca Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001133
Cod. catastale,E566
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 779 GG[3]"
Nome abitanti,levonesi
Patrono,San Giacomo Maggiore Apostolo
Giorno festivo,prima domenica di luglio
Cartografia,Cartografia
Levone,Levone
Levone – MappaLocalizzazione del comune di Levone nella città metropolitana di Torino.,Levone – MappaLocalizzazione del comune di Levone nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
