Lombardore comune,Lombardore comune.1
,
Lombardore – VedutaParrocchiale S.Agapito,Lombardore – VedutaParrocchiale S.Agapito
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Rocco Barbetta (lista civica Lombardore: proseguiamo con onestà) dal 10-6-2024
Territorio,Territorio
Coordinate,45°14′06.82″N 7°44′11.59″E
Altitudine,268 m s.l.m.
Superficie,"12,72 km²"
Abitanti,1 734[1] (30-11-2025)
Densità,"136,32 ab./km²"
Comuni confinanti,"Bosconero, Leini, Rivarolo Canavese, Rivarossa, San Benigno Canavese, San Francesco al Campo, Volpiano"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001135
Cod. catastale,E660
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 756 GG[3]"
Nome abitanti,lombardoresi
Patrono,sant'Agapito
Cartografia,Cartografia
Lombardore,Lombardore
Lombardore – MappaLocalizzazione del comune di Lombardore nella città metropolitana di Torino.,Lombardore – MappaLocalizzazione del comune di Lombardore nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
