Porte comune,Porte comune.1
,
Porte – VedutaPanorama di Porte,Porte – VedutaPanorama di Porte
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Simone Gay (lista civica Un progetto per Porte) dal 4-10-2021
Territorio,Territorio
Coordinate,44°53′00″N 7°16′00″E
Altitudine,436 m s.l.m.
Superficie,"4,45 km²"
Abitanti,1 112[1] (30-11-2025)
Densità,"249,89 ab./km²"
Frazioni,"San Martino, Malanaggio"
Comuni confinanti,"Pinerolo, San Germano Chisone, San Pietro Val Lemina, San Secondo di Pinerolo, Villar Perosa"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001200
Cod. catastale,G900
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 902 GG[3]"
Nome abitanti,portesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Porte,Porte
Porte – MappaLocalizzazione del comune di Porte nella città metropolitana di Torino.,Porte – MappaLocalizzazione del comune di Porte nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
