Prali comune,Prali comune.1
,
Prali – Veduta,Prali – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Eraldo Tron dal 2024
Territorio,Territorio
Coordinate,44°53′21.43″N 7°02′55.9″E
Altitudine,1 455 (min 960 - max 3 060) m s.l.m.
Superficie,"72,61 km²"
Abitanti,252[1] (30-11-2025)
Densità,"3,47 ab./km²"
Frazioni,"Campo del Clot, Ciai, Cugno, Ghigo (capoluogo), Giordano, Indritti, Malzat, Orgiere, Pomeifrè, Pomieri, Ribba, Rodoretto, Villa"
Comuni confinanti,"Abriès (FR-05), Angrogna, Bobbio Pellice, Perrero, Pragelato, Salza di Pinerolo, Sauze di Cesana, Villar Pellice"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001202
Cod. catastale,G978
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 4 536 GG[3]"
Nome abitanti,pralini
Giorno festivo,17 febbraio
Cartografia,Cartografia
Prali,Prali
Prali – MappaLocalizzazione del comune di Prali nella città metropolitana di Torino.,Prali – MappaLocalizzazione del comune di Prali nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
