Reano comune,Reano comune.1
,
Reano – VedutaPanorama,Reano – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Piero Troielli (lista civica Reano per un futuro migliore) dal 10/06/2024 (secondo mandato)
Territorio,Territorio
Coordinate,45°03′07.4″N 7°25′49.45″E
Altitudine,470 m s.l.m.
Superficie,"6,67 km²"
Abitanti,1 775[1] (30-11-2025)
Densità,"266,12 ab./km²"
Comuni confinanti,"Avigliana, Buttigliera Alta, Rosta, Sangano, Trana, Villarbasse"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001211
Cod. catastale,H207
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 059 GG[3]"
Nome abitanti,reanesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Reano,Reano
Reano – MappaLocalizzazione del Comune di Reano nella Provincia di Torino.,Reano – MappaLocalizzazione del Comune di Reano nella Provincia di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
