Santena comune,Santena comune.1
,
Santena – VedutaPiazza Martiri vista dal campanile della Chiesa dei Santi Apostoli Pietro e Paolo,Santena – VedutaPiazza Martiri vista dal campanile della Chiesa dei Santi Apostoli Pietro e Paolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Roberto Ghio (lista civica) dal 12-06-2022
Territorio,Territorio
Coordinate,44°57′N 7°47′E
Altitudine,237 (min 225 - max 258) m s.l.m.
Superficie,"16,2 km²"
Abitanti,10 392[1] (30-11-2025)
Densità,"641,48 ab./km²"
Frazioni,"Carolina, Case Nuove, Gamenario, Luserna, San Salvà, Taggia, Tetti Agostino, Tetti Busso, Tetti Giro, Trinità"
Comuni confinanti,"Cambiano, Chieri, Poirino, Trofarello, Villastellone"
Altre informazioni,Altre informazioni
Cod. postale,10026
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001257
Cod. catastale,I327
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 580 GG[3]"
Nome abitanti,santenesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Santena,Santena
Santena – MappaLocalizzazione del comune di Santena nella città metropolitana di Torino.,Santena – MappaLocalizzazione del comune di Santena nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
