Valperga comune,Valperga comune.1
,
Valperga – VedutaVeduta,Valperga – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Walter Sandretto dal 21-9-2020
Territorio,Territorio
Coordinate,45°22′N 7°39′E
Altitudine,385 (min 336 - max 727) m s.l.m.
Superficie,"11,91 km²"
Abitanti,2 976[1] (30-11-2025)
Densità,"249,87 ab./km²"
Comuni confinanti,"Castellamonte, Cuorgnè, Pertusio, Prascorsano, Salassa, San Ponso"
Altre informazioni,Altre informazioni
Cod. postale,10087
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001287
Cod. catastale,L644
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 722 GG[3]"
Nome abitanti,valperghesi
Cartografia,Cartografia
Valperga,Valperga
Valperga – MappaLocalizzazione del comune di Valperga nella città metropolitana di Torino.,Valperga – MappaLocalizzazione del comune di Valperga nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
